Description,Category,Categories
central province permanent secretary chanda kabwe ha commended world bank funding lead remediation project kabwe aimed mitigating impact lead poisoning human health environment world bank recently approved us656 million fiveyear environment remediation project targeted critically polluted mining area kitwe chingola 8230,health,health and wellness
zambian professor living hiv ha found life partner going public hiv status samson tembo 36 based kitwe nzila kafwimbi met via time zambia column tackle subject part campaign reduce stigma ignorance condition professor tembo’s wife 8230,other,uncategorized
female student higher learning institution stop cooking meal boyfriend school learn minister higher education nkundu luo disappointed female student higher learning institution added extra responsibility academic timetable professor luo surprised student kwame nkrumah university 8230,politics,"politics, education"
government say fight eliminate malaria 2020 need holistic approach key player vision achieved copperbelt province permanent secretary elia kamanga say concerted effort like indoor residue spraying irs important exercise malaria ha continued claim many life 8230,politics,politics
isaac mwanza difference lusaka provincial minister copperbelt provincial minister education doe always enable people make best decision modern problem street vending difference lusaka mayor kitwe mayor age catching human stop living 8230,politics,"politics, education"
exzambia under20 deputy trainer emmanuel siwale ha appointed zesco united second assistant coach club medium officer katebe chengo confirmed tuesday siwale ha replaced alfred lupiya ha transfered livingstone side zesco vic fall head coach siwale ha previously coached kitwe united chambishi wa appointment 8230,technology,uncategorized
high number young girl dropping school due early pregnancy early marriage ha shocked non governmental organisation charity centre child youth development zambia statistic rural part zambia revealed parent prefer marrying girl child taking school 8230,politics,"politics, education, development"
upnd planning big upnd vicepresident geoffrey bwalya mwamba ha revealed interview moba hotel kitwe yesterday mr mwamba said upnd’s silence make people think largest opposition party problem instead mr mwamba stressed party wa underground work planning big 8230,local news,"politics, career"
copperbelt minister bowman lusambo ha said support decision mayor kitwe chingola remove street vendor speaking friday kitwe featured live radio programme yar fm’s social chatter radio programme mr lusambo said want minister clean province 8230,politics,politics
athletics great samuel matete ha returned coaching unsuccessful bid become president zambia athletics association matete ha formed athletics academy kitwe playing field ha attracted score youngster former world 400 meter hurdle champion seeking nurture splinter academy 8220i decided 8230,local news,politics
road transport safety agency ha immediate effect suspended operating licence accident prone mazhandu family bus service wa disclosed rtsa director chief executive officer zindaba soko news conference lusaka morning mr soko said agency road service licence mazhandu ha suspended 8230,other,development
dear editor work mazhandu family bus service confirm fatigue could responsible mazhandu bus accident horror near mulungushi university yesterday driver wa bus previous morning lusaka livingstone came back lusaka afternoon later complained 8230,education,"education, career"
america based zambianborn medical doctor robert sakulanda ha bought faz division two copperbelt side nkwiza football club nkwiza chairman musenga chilembo said club handler reached agreement dr sakulanda chilembo said dr sakulanda taking nkwiza ahead 2017 season nkwiza kitwe known nurturing exchipolopolo defender francis kasonde 8230,sports,"sports, health and wellness"
nine people died spot higer bus truck collided great north road near lwanshimba kabwe kapiri mposhi police spokespersonesther katonga said press statement today higer bus alz 3197 belonging mazhandu family bus service driven vincent hangandu valid public 8230,other,development
minister youth sport child development moses mawere reported sunday time january 29 2017 said government plan recruit street kid 18 year taught life skill zambian national service zn,politics,"politics, development"
shortage burial space haunting lusaka city parking space another issue registration 100 vehicle day average existing parking space ha become compromised central business district cbd acute shortage parking space ha thorny issue 8230,business,"local news, business news"
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39,other,uncategorized
twentyfouryearold woman kitwe’s luangwa township ha appealed wellwishers help seek justice matter wa allegedly told wa hivpositive put antiretroviral art drug luangwa clinic wa infected chipulu mulenga said may 9 2016 pregnant went 8230,local news,"narcotics, local news"
ndola city council ha immediate effect stopped chinese investor going ahead construction car wash buffer zone ndolakitwe dual carriageway mayor amon chisenga ha revealed mr chisenga said interview daily nation ndola entertain anarchy 8230,local news,"development, local news"
famine early warning system network say outbreak armyworm stalk borer may compromise maize harvest 20162017 season latest report fewsnet say widespread outbreak stalk borer fall armyworm pest closely related african armyworm january 9th 8230,other,career
mopani copper mine ha retained everisto kabila nkana football club president reconstituting executive committee ahead 2017 campaign nkana ha remained trophyless past two season kabila ha presided affair financially viable club took december 2014 john chiwele steered nkana 8230,sports,"sports, politics"
john taylor ceo microlink technology ltd zambia announced company expects launch wiz lte wwwwizcozm february 15th lusaka “,business,business news
copperbelt minister bowman lusambo say president lungu disappointed chinese company mei mei investment backtracking initial plan set u 150 million minicity along ndolakitwe dual carriageway mini city piece land next levy mwanawasa stadium wa comprise house warehouse fivestar 8230,politics,"politics, local news, business news"
two zambian 17 ethiopian sentenced kabwe offence smuggling person consenting smuggled respectively two zambian james nalube 42 jammy nalube 35 resident chalala lusaka sentenced 20 year imprisonment 17 ethiopian sentenced 15 8230,local news,uncategorized
luanshya mayor nathan chanda say removal street vendor start local authority secured land vendor allowed conduct business mr chanda say want luanshya clean kitwe chingola removal street vendor ha done successfully say luanshya 8230,business,"local news, business news"
faz super division side power dynamo mourning long serving team bus driver mike kaluba died friday morning wusakile mine hospital kitwe kaluba served power team bus driver 27 year death ha announced power team manager lombe chipupu son mike kaluba jnr 8220he died 8230,sports,health and wellness
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 8230,other,uncategorized
mansa municipal council ha joined kitwe chingola restricting street vending part central business area mansa municipal council public relation manager chris mulaliki said government aware street vending highly contributes blocking street drainage well making town unclean revealed 8230,politics,"politics, local news, business news"
disaster management mitigation unit dmmu national coordinator patrick kangwa say outbreak armyworm ha normalised province outbreak wa first reported mr kangwa say government ha far distributed total 91700 litre chemical 81400 sprayed 42000 hectare still requires spraying speaking 8230,politics,politics
former minister information chishimba kambwili ha expressed strong displeasure move taken kitwe mayor christopher kang’ombe remove vendor street dr kambwili wrote following sad case street vending elite call dirt afford shop shoprite poor call business 8230,politics,"politics, business news"
former chipolopolo striker rotson kilambe hope frustration missing 2017 africa cup motivate zambia qualify 2019 tournament cameroon zambia battle guinea bissau mozambique namibia group k 2019 africa cup qualifying campaign minnow guinea bissau gabon expense 8230,sports,uncategorized
kitwe city council ha banned street vending central business district part effort clean city mayor christopher kangombe urging vendor go back market conduct activity mr kangombe said affected vendor’s engaged office various occasion 8230,business,"local news, economy news, business news"
minister health dr chitalu chilufya ha announced plan underway introduce use drone deliver medicine remote area zambia dr chilufya said government medical store exploring way introducing drone technology speed delivery essential medicine kit rural area 8230,politics,"politics, health and wellness"
seasoned banker rose low selling chicken egg running country’s fastest growing micro finance outlet “i wa fired wa work trip hong kong infact wa connecting london hong kong found secretary’s missed call didn’t return 8230,other,"career, economy news"
government ha urged people northern province despair stalled infrastructure development work soon resume project northern province minister brian mundubile made assurance live programme radio mano community station yesterday zanis report minister saids reaction kasama residents8217 concern 8230,politics,"politics, development, career, local news"
happening defending faz super division champion zanaco 2016 champion hit high unusual exodus player uncharacteristic team representing zambia caf champion league happening le month zanaco host apr rwanda two side preliminary 8230,sports,uncategorized
upnd keembe member parliament princess kasune zulu ha paid tribute god life turned 41 year last week january 6th kasune zulu ha publicly disclosed hiv positive status said owes success god “god ha good gracious 8230,politics,politics
isaac mwanza president lungu seem take time think appointment appointment youthful person position responsibility ought commended also come challenge youthful person deliver expectation party tapped 8230,local news,"politics, career"
kitwe high court judge timothy katenekwa ha expansion court accommodate six judge justice katenekwa ha appealed kitwe city council kcc provide land construction office judiciary enable execute plan 8220due increased workload civil 8230,local news,"development, career, local news"
health minister chitalu chilufya ha disclosed five hospital luapula province card delivery order enhance quality health care delivery close people possible dr chilufya said hospital constructed lupiya area chienge nchelenge pambashe area kawambwa chifunabuli samfya 8230,politics,"politics, health and wellness"
patriotic front pf secretary general davis mwila worst enemy pf always backbiting telling president edgar lungu lie undermining authority actual fact loyalty ha always president lungu’ pf member central committee mcc mwenya musenge ha said effort 8230,local news,politics
cautionary safe use disposal chemical control army worm zambia environmental management agency zema reaffirms governments’ commitment control army worm destroying maize field part country government ha procured chemical control army worm order secure food security country agency would 8230,politics,politics
president edgar lungu ha appointed kitwe district commissioner chanda kabwe central province permanent secretary mr kabwe take daisy ng’ambi head state ha appointed patriotic front copperbelt provincial information secretary binwell mpundu take mr kabwe special assistant president press public relation amos 8230,local news,politics
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22,other,uncategorized
ministry finance ha released k308 million assist fight army worm help restore smooth progress current agriculture season medium public relation officer chileshe kandeta said part k248 million ha channeled ministry agriculture k6 million disaster mitigation 8230,other,economy news
lusaka motorist fuming dismayed road development agency effect repair damaged lumumba road threatening life property according agency lusaka’s lumumba road damaged beyond repair patching waste resource money yet 8230,other,development
figure 2015 tourism statistical digest reveal interesting fact budding sector united nation world tourism organisation unwto reported tourist travelling world 2015 increased 1184 million reflecting 44 percent growth compared 2014 stood 1134 million tourist 8230,other,uncategorized
zambian born violinist caitlin de ville released video electric violin cover clean bandit hit song 8220rockabye8221 feature sean paul annemarie video wa shot kitwezambia kapa187,other,uncategorized
national road fund agency nrfa ha disclosed raised k450 million toll fee previous year 2016 agency ha targeted raise k21 billion toll fee year 2017 tolling programme phase ii briefing journalist today medium breakfast meeting lusaka nrfa 8230,other,development
copperbelt young woman christian association coordinator sharon chisanga ha implored organization region opening dropping centre abused child conform needed standard guideline facility observed dropping centre working like orphanage homeshence implored establishing follow needed standard 8230,other,"career, local news"
roan member parliament chishimba kambwili say president edgar lungu’s emphasis diversifying economy must taken seriously speaking donated 150 bag fertilizer constituency luanshya dr kambwili urged zambian embrace president’s call begin take agriculture business rather past 8230,politics,"politics, economy news, business news"
nkana8217s failure win silverware 2016 season ha hurt club sponsor mopani copper mine nkana finished third faz super division thereby missing next8217s caf club competition well speaking club8217s gala night friday kitwe mopani board chairperson moses chilangwa said wa unacceptable nkana 8230,other,uncategorized
striker walter bwalya dominated nkana award gala night friday bagged player year award beside two accolade bwalya scored 24 goal ended super division campaign emerge league top scorer robust striker looked calm received club8217s top scorer fan player 8230,sports,uncategorized
vice president inonge wina say government hand infamous copper slug black mountain kitwe rightful owner determination court mr wina however say portion black mountain negotiated given youth empowerment responding concern raised debate budget 8230,politics,politics
drug enforcement commission dec copperbelt ha arrested business woman luanshya town trafficking cocaine justina phiri 37 house 86km kamirenda area luanshya district ha arrested trafficking 48 rock cocaine dec public relation officer theresa katongo confirmed wednesday statement suspect 8230,business,"narcotics, local news, business news"
zccmih chief executive officer pius kasolo said decision board drag konkola copper mine court misunderstood attack mining firm kcm one zambia’s largest copper producer one largest private sector employer country operation four location namely 8230,other,uncategorized
government say need bulk power user pay cost reflective electricity tariff ensure zesco remains afloat economically viable minister mine christopher yaluma say government ha engaged mining company copperbelt proposed revised electricity tariff implemented zesco bulk user mr yaluma say government 8230,politics,"politics, local news, economy news, business news"
retired veteran referee francis kasusu ha hailed janny sikazwe8217s appearance ended fifa club world cup japan handled final spanish giant real madrid kashima antler kapiri mposhi fifa referee sikazwe sunday handled final international stadium madrid beat antler japan 42 8220we 8230,technology,uncategorized
one individual allowed break destroy patriotic front pf party member allow misled disgruntled people think important others president edgar lungu ha said presidential affair minister freedom sikazwe said wa desire president lungu 8230,politics,politics
government holding closed door consultative meeting chamber mine mining company proposed electricity tariff increase minister finance mine energy representing government meeting kitwe zesco ha proposed increase electricity tariff bulk user move ha settled 8230,politics,"politics, local news, economy news, business news"
government ha pledged construct chisokone b shelter collapsed yesterday following heavy downpour recently presidential affair minister freedom sikazwe say government put shelter help trader revert business awaiting construction modern market mr sikazwe disaster market wa emergency need 8230,politics,"politics, development, economy news, business news"
opposition rainbow party say country develop economy run zambian party secretary general winter kabimba said zambia’s economy improve local people take centre stage controlling economy mr kabimba said economy wa currently dominated foreigner especially international corporation 8230,local news,"career, local news, economy news, business news"
deadly army worm attacked four district copperbelt province causing extensive damage maize field zanis report copperbelt province agriculture coordinator dr obivious kabinda confirmed development n interview ndola said four district affected include ndola kitwe mpongwe chililabombwe district dr kabinda explained ndola 8230,other,development
hundred people yesterday paid last respect former national assembly deputy speaker mkhondo lungu died sunday lusaka’s university teaching hospital uth following respiratory failure mourner included family member deputy speaker national assembly mwimba malamba minister higher education nkandu luo mmd national secretary raphael nkachinda 8230,politics,"politics, education, health and wellness"
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 31 33 34 35 36 37,other,uncategorized
chief government spokesperson mulenga kampamba say country stand benefit alot president lungu8217s foreign trip kapamba also minister information broadcasting service ha urged zambian continue criticizing president lungu8217s foreign trip consider economic benefit attached realised zanis report kitwe 8230,politics,"politics, development, economy news"
one zambia’s anticipated album set released chef 187 hip hop artist host album release party chez ntemba vip club lusaka club insomnia kitwe amnesia new album released time chef 187’s new clothing line ‘in 8230,fashion,fashion
patson daka8217s nomination young player year second time defeat significance award winning award 2014 adjudicator seemingly overlooked fact still nominated daka year accolade without doubt daka ha impressed second part season 8230,sports,uncategorized
copperbelt minister bowman lusambo ha urged journalist zambia remain professional ethical execution work mr lusambo said medium key partner national development hence need adhere highest level ethical standard said pf government president edgar lungu support medium 8230,politics,"politics, development, career"
zesco united broken nkana8217s heart winning away lumwana radiants saturday beat kitwe giant second place finish place 2017 caf confederation cup second placed zesco beat lumwana 20 finish two point ahead third positioned nkana 72 70 point respectively nkana8217s 8230,other,career
copperbelt energy corporation cec chairman hanson sindowe ha challenged power dynamo win silverware next season power finished fourth faz super division 61 point 34 match speaking club8217s end year party award ceremony thursday night kitwe sindowe said wa unfortunate power 8230,sports,business news
power dynamo defender francis kasonde thursday night emerged club’s player year 2016 award gala keg kitwe kasonde also scooped award consistent player arthur davy however biggest winner night wa striker patson daka three award daka 8230,sports,uncategorized
water supply copperbelt town ha cut following discharge sulphur kafue river chingolabased mining company nkana water sewerage company nwsc treatment plant wa forced shut following reported discharge sulphur kafue river drinking water drawn move ha created erratic 8230,business,"local news, business news"
cactus agony’s musical aspiration began young child singing lechwe primary school choir kitwe learning master flute even spell glockenspiel growing environment surrounded many different genre music natural love performing plus opportunity give voice 8230,entertainment,"education, career"
police copperbelt unearthed scheme group 16 unscrupulous people allegedly ploted sabotage vital installation zesco pylon copperbelt commissioner police charity katanga disclosed katanga said police recently discovered explosive close zesco pylon near fisenge area 50 kilometre 8230,other,uncategorized
kitwe outfit geokas curve football club celebrated securing promotion faz division one zone two geokas promotion winning 2016 faz division two copperbelt league 56 point 30 match club coach webby kabinda cheered team8217s promotion already looking forward new challenge 8220i 8230,sports,sports
it’s exactly one year since miner retrenched various mining company zambia close look miner surviving laid meaningful package sustain livelihood news broke mining company going cut work force due 8230,business,"career, business news"
bank zambia ha taken possession intermarket banking corporation zambia limited immediate effectthis according press statement released medium bank zambia head communication intermarket banking corporation ha become first victim bank zambia stringent capital adequacy requirement ha forced 8230,business,"economy news, business news"
governing political party official continued grab land illegally denying ordinary people access affordable land housing affecting integrated planning meet present future need land housing infrastructure zambia zambia like many country ha committed habitat iii agenda urbanization development 8230,politics,development
kitwe mayor christopher kang’ombe ha said chisokone market kitwe longer habitable trading due deteriorating infrastructure coupled poor sanitation mr kang’ombe undertook first tour zambia’s arguably second largest market company kitwe district commissioner chanda kabwe appreciate challenge faced marketeers 8230,business,"development, economy news, business news"
former zanasu vice president prince ndoyi ha called citizen country block increment toll gate fee 100 effective january 2017 mr ndoyi said opposed hiking price government instead reduce price making colossal sum money current 8230,politics,politics
mwambashi bridge along kitwechingola road ha developed crack calling urgent attentionthe road development agency rda awarded k562 million contract sino hydro zambia limited construction 45 kilometre dual carriageway kitwe chingola copperbelt province march 2013 contract wa 8230,entertainment,development
opposition upnd copperbelt chairman elisha matambo three others walked freedom state entered nolle prosequi three month detention kamfinsa state prison arrested august 14 2016 charged aggravated robbery intercepted motor vehicle wa allegedly carrying premarked ballot box 8230,other,career
opposition upnd say result thursday local government council chairperson election ha shown party making strong inroad pf traditional stronghold upnd spokesman charles kakoma said party ha local government byelections held week said upnd managed win kalumbila mwandi 8230,politics,"politics, development, career, local news"
top two status quo wa maintained top two faz super division saturday leader zanaco second placed nkana drew respective home fixture sunset stadium lusaka zanaco held 11 home green eagle richard kasonde put zanaco ahead 59th minute 8230,other,uncategorized
faz super division resume twoweek international match window leader zanaco nkana action saturday defending champion zesco united third action sunday zanaco nkana two point separating 68 66 point respectively zanaco home face green 8230,sports,uncategorized
united party national development upnd ha said party8217s performance ended local government election vindicated claim ended general election percy chanda upnd chairperson labour said party ha saying election stolen 8230,politics,"politics, development, local news"
election defeat local government seat mukuba ward nkana constituency copperbelt ha caused panic ruling pf opposition united party national development upnd ha scooped mukuba ward local government seat upnd candidate graddy simukoko polled 438 vote beating closest rival gilbert mushota 8230,politics,"politics, development, career, local news"
minister finance felix mutati ha said government put forward stable tax system enable mining company operate effectively mr mutati said mining sector continue take part growing zambian economy said government implement stable tax regime 2017 national budget 8230,politics,"politics, economy news, business news"
immigration department ha arrested 34 illegal immigrant across country arrested include 18 congolese national kasumbalesa six chinese national kitwe two malawian chipata arrested illegal entry immigration acting public relation officer wellington lubinda confirmed stating angolan national wa also arrested mongu zimbabwean national wa 8230,other,uncategorized
copperbelt province pf official added voice impending implosion party saying 8220it painful see mmd member enjoying fruit labour8221 pf senior member spoke condition anonymity fear victimization said shocking new comer power people 8230,other,uncategorized
four people include catholic nun died spot along chipatalundazi road lundazi district eastern province police commissioner alex chilufya confirmed yesterday accident happened kampondo area around 1100 hour sunday mr chilufya said accident happened driver isaac phiri 27 whilst carrying four people 8230,technology,development
anticorruption commission today set state position impeding probe former information minister chishimba kambwili corruption acc spokesman timothy moono said interview commission state position today whether proceed investigating dr kambwili last week highly placed source 8230,politics,"politics, career"
newly appointed political governance advisor zambia volunteer network nonprofit organisation based kitwe ha called government stimulate interest member public discus national budget mr prince ndoyi also former zanasu vice president bemoaned lack interest national budget 8230,politics,"politics, career, business news"
combined team zambia police officer chipata municipal council tuesday swung action confiscating large quantity illegal alcoholic drink commonly known tujilijili officer went round district confiscating alcoholic drink bar street within town compound check council found officer offloading 8230,sports,local news
opposition upnd leader hakainde hichilema ha assured party continue offering support member facing various charge court aftermath august 11 poll speaking party leadership went offer solidarity upnd official incarcerated kitwe’s kamfinsa correctional facility court appearance 8230,technology,career
struggling mufulira wanderer awarded three point faz disciplinary committee following abandonment super division match power dynamo arthur davy stadium kitwe 23 october wanderer leading 10 half time via progress kalenga goal week 29 match wa abandoned assistant referee 8230,sports,uncategorized
george lwandamina ha resigned zesco united coach three year helm fivetime champion lwandamina handed resignation monday morning news come 24 hour zesco beaten 32 home nkana suffer first defeat kitwe side since promoted 8230,other,uncategorized
mine worker union zambia muz say konkola copper mineskcm operating financial stress called urgent government intervention muz president joseph chewe ha since urged government immediately correct situation kcm mr chewe ha also advised mining firm get back initial core business mining 8230,politics,"politics, career, business news"
faz super division new boy lumwana radiants wednesday enhanced survival prospect home win lumwana ground super division debutants beat nakambala leopard 10 lumwana swim closer 40point mark need seal survival hillary bwalya scored game8217s lone goal 22nd minute 8230,sports,uncategorized
160 zamtel launch 45g lte2300 network copperbelt quest improve communication service pushing forward technology vision deploying state art cutting edge 45g long term evolution communication 160 deployment crucial step zamtel allow company offer innovative highdefinition service 8230,business,"career, business news"
konkola blade coach enos silwimba ha hailed side bouncing back faz super division konkola secured promotion sunday beating chingola police 10 nchanga stadium open six point lead top division one zone two table isaac ngoma8217s lone goal 10 minute moved konkola 8230,sports,uncategorized
konkola blade promotion back faz super division year suffering demotion division one konkola secured promotion sunday beating chingola police 10 nchanga stadium chingola open six point lead top division one zone two table one round match 8230,sports,uncategorized
patson daka kelvin mubanda fired brace saturday arthur davy stadium end power dynamo monthlong winless run power beat nakambala leopard 51 home kitwe pick first league win since september 10 defeated green buffalo 41 venue mubanga put power ahead 8230,other,uncategorized
zambezi magic channel 160 dstv 7th november 2016 give southern african viewer taste one zambia’s entertaining character fondly known comedy lover ‘dorika’ dorika high rolling social lite ha established woman influence suburb kitwe zambia 8230,other,uncategorized
exchipolopolo defender billy mwanza ha backed fire green buffalo defender adrian chama uninspiring display zambia lost nigeria 2018 world cup qualifier october 9 chama ha criticized heavily fan lapse gifted nigeria goal zambia lost 21 levy mwanawasa stadium ndola 8230,sports,uncategorized
konkola blade verge returning faz super division opening four point lead top division one zone two table two match remaining season coach enos silwimba8217s blade weekend overcame zesco solwezi 21 konkola stadium chililabombwe increase tally 8230,sports,uncategorized
sunday’s match arthur davy stadium kitwe third placed power dynamo 15th positioned mighty mufulira wanderer wa abandoned halftime due security concern mighty leading 10 break 17th minute strike progress kalenga however second assistant lewis mumba sustained arm injury 35th minute 8230,sports,career
struggling mufulira wanderer set seemingly audacious target beating power dynamo sunday8217s away faz super division match arthur davy stadium kitwe wanderer currently fourth bottom 18team league table 29 point 29 game played far power lost reverse fixture 10 wanderer 8230,sports,uncategorized
anticorruption commission acc ha instituted investigation nine case arising finding auditor general’s 2015 report acc public relation manager timothy moono said commission ha picked 15 case auditor general’s report nine authorised investigation five referred relevant institution administrative 8230,other,uncategorized
faz super division giant nkana backed fire coach aggrey chiyangi saturday8217s 40 semifinal defeat zanaco barclays cup nkana eliminated barclays cup humiliating fashion suffering heavy defeat hand zanaco arthur davy stadium kitwe statement released wednesday 8230,fashion,fashion
kitwe united wednesday visit ndola face gomes wanderer levy mwanawasa stadium hope displacing konkola blade top faz division zone two table kitwe 8220chingalika8221 gomes clash delayed week 27 midweek encounter buchi boy second table 52 point two 8230,other,uncategorized
konkola blade risk surrendering faz division zone two top spot two match left play campaign succumbing 21 loss fqmo mining solwezi sunday second played kitwe united two point behind konkola go top beat gomes wanderer wednesday8217s delayed match 8230,sports,uncategorized
united party national development upnd losing candidate lusaka central constituency election charlotte scott ha abandoned petition saying longer interested opposition party ha insisted continuing matter another member jimmy simoonga according affidavit filed high court dr scott said 8230,politics,"politics, development, career"
coach aggrey chiyangi say nkana must accept 40 loss zanaco saturday8217s barclays cup semifinal move nkana eliminated barclays cup humiliating fashion suffering heavy defeat hand zanaco arthur davy stadium kitwe chiyangi said nkana player need strong 8230,sports,fashion
zesco united coach george lwandamina ha hailed character showed player beating power dynamo 10 saturday8217s barclays cup semifinal match arthur davy stadium kitwe zesco overcame power despite enduring tough first half reach final face zanaco november fourtime barclays cup winner 8230,sports,uncategorized
kitwe district commissioner chanda kabwe ha appealed kitwe resident turn number national prayer october 18 regardless political affiliation mr kabwe say prayer national event attend following declaration president edgar lungu last year say october 18 meant 8230,politics,politics
wa forgettable day city kitwe saturday nkana power dynamo denied opportunity cup derby ejected 2016 barclays cup semifinal home turf lunchtime kickoff zanaco barely broke sweat midday october heat trounce nkana 8230,local news,"career, local news"
top four side faz super division table season converge arthur davy stadium kitwe saturday battle place final 2016 barclays cup doubleheader see two former champion clash two exrunnersup also duel respective penultimate stage fixture 8230,other,uncategorized
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22,other,uncategorized
faz president andrew kamanga ha challenged footballer prepare retirement speaking financial literacy training workshop footballer moba hotel kitwe fridaykamanga said unfortunate player become destitute retire said need player change mindset regarding financial management 8230,sports,"sports, politics, career"
government say committed ending blindness visual impairment zambia establishing eye care health post across country zanis report minister health chitalu chilufya said government ha put measure combat blindness zambia establishing corneal transplant surgery one constructed kitwe central 8230,politics,"politics, health and wellness"
coach enos silwimba say konkola blade must best remaining four match order secure promotion back faz super division four match left play campaign konkola top division zone two table 54 point 26 match played sharp razor two 8230,sports,uncategorized
upnd president hakainde hichilema vicepresident geoffrey bwalya mwamba facing fresh charge two upnd leader declared would never recognise president edgar lungu country’s legitimately elected head state zambia police warned wa criminal anyone refuse recognise elected president 8230,local news,politics
zesco zanaco power dynamo nkana league action wednesday seek respective win take saturday8217s 2016 barclays cup semifinal barclays semifinal nkana face zanaco zesco play power arthur ddavies stadium kitwe defending league champion fourtime barclays cup 8230,other,uncategorized
upnd president hakainde hichilema ha revealed 2000 upnd member police detention various police station across country mr hichilema ha maintained president edgar lungu wa legitimately elected head state august 11th poll speaking news conference residence today mr hichilema 8230,local news,politics
copperbelt minister bowman lusambo say reduction expenditure sending patient outside country specialised treatment due investment 5 million u dollar procurement eye equipment mr lusambo ha said government committed fight blindness country improving 8230,politics,"politics, business news"
power dynamo saturday missed chance move second place faz super division succumbing 10 away defeat green eagle choma striker adamson mulawo scored goal two minute excite home fan independence stadium third placed power 52 point would 8230,sports,uncategorized
power dynamo go second faz super division table beat green eagle saturday8217s away match independence stadium choma power 52 point point second placed nkana record win eagle dan kabwe8217s charge also targeting double eagle 8230,sports,uncategorized
kitwe united back top faz division one zone two table overcoming chingola police 10 midweek fixture garden park stadium kitwe striker emmanuel chabula scored solitary goal second half kitwe dislodged konkola blade action top 8230,sports,uncategorized
power dynamo nkana denied prospect kitwe derby clash 2016 barclays cup semifinal twotime champion power instead face nemesis zesco united last four october 15 arthur davy stadium kitwe 15h00 power lost twice zesco league 8230,other,uncategorized
police luanshya used teargas disperse angry upnd supporter protesting leader hakainde hichilema geoffrey mwamba arrested 50 upnd member district since detained connection riot police luanshya late wednesday afternoon arrested mr hichilema mr mwamba charged 8230,other,uncategorized
2016 barclays cup semifinal draw made thursday october 5 faz ha stated draw made 11h00 football house lusaka zanaco nkana twotime winner power dynamo record fourtime champion zesco united go draw semifinal doubleheader played october 15 8230,sports,sports
kitwe mayor christopher kang8217ombe ha elected president local government association zambia mr kang8217ombe got 56 vote beating close contender theresa maipambe chilanga district council chairman got 42 mr kango8217mbe wa declared winner presiding officer monde mukamba mumba 1330 hour wa 8230,politics,"politics, local news"
upnd president hakainde hichilema say nothing wrong copperbelt police summon police luanshya summoned mr hichilema vice geoffrey bwalya mwamba appear questioning tomorrow meeting duo held mpongwe resident copperbelt police commissioner charity katanga confirmed callouts issued 8230,local news,politics
coach aggrey chiyangi ha insisted nkana still race win faz super division title despite recent stuttering form second placed nkana 54 point 28 match picked four point last three match nkana seven point behind leader zanaco also two unplayed 8230,sports,uncategorized
wedson nyirenda ha handed late callup striker rogers kola israeli club hapoel ra8217anana kola end twoyear exile team replacing kaizer chief striker lewis macha still nursing injury sustained august 30 zambia8217s training camp september 4 game kenya 8230,sports,uncategorized
record fourtime champion zesco united qualified 2016 barclays cup semifinal style stoppage time goal division 1 zone 2 promotion favourite konkola blade zesco beat blade 21 arthur davy stadium kitwe sunday first competitive game back action since 2016 caf champion league semifinal 8230,sports,fashion
patriotic front central committee ha resolved member applied readmission party wait least three year minute line party’s constitution former matero mp mile sampa one high profile politician ha publicly applied rejoin pf 8230,technology,politics
striker ronald kampamba set return action faz super division side nkana recovering thigh injury sidelined month satesate sustained thigh injury nkana lost 10 power dynamo kitwe derby played september 3 kampamba confirmed friday ha 8230,other,uncategorized
nchanga constituency national restoration partynarep losing candidate judith kabemba ha expressed concern monies patriotic front pf minister amassed illegal stay office dissolution parliament year report pan african radio journalist hermit hachilonde suggested money paid back put 8230,politics,politics
wedson nyirenda ha released zesco united callups barclays cup duty weekend eight player released thursday ahead sunday8217s quarterfinal clash konkola blade arthur davy stadium kitwe nyirenda also revealed zambia break camp cut 24member homebased player 8230,sports,uncategorized
police copperbelt summoned upnd president hakainde hichilema deputy geoffrey bwalya mwamba allegedly addressing illegal meeting copperbelt police commissioner charity katanga said duo appear police luanshya next wednesday convened illegal meeting mpongwe hichilema mwamba bad run 8230,local news,politics
faz ha moved sunday8217s delayed barclays cup quarterfinal tie zesco united konkola blade arthur davy stadium kitwe tie wa supposed played doubleheader nkoloma stadium weekend 1718 september date coincided zesco8217s caf champion league match mamelodi sundown 8220please 8230,sports,uncategorized
banned highly intoxicating illicit alcohol packed plastic bottle popularly known tujilijili resurfaced market street chipata district chipata mayor sinoya mwale disclosed installation chipata monday plastic bottle come neighbouring country smuggled zambia illegally adding 8230,business,economy news
